affiliation,country_code,latitude,longitude
"Meteorological, Climatological, And Geophysical Agency",ID,,
Shandong Agricultural University,CN,36.1635647,117.1498577
Southwest Forestry University,CN,,
Chinese Academy of Agricultural Sciences,CN,39.9610128,116.3234195
East China Normal University,CN,31.2284923,121.4021139
Lanzhou University,CN,36.0504988,103.8544558
Institut des Géosciences de l'Environnement,FR,,
Observatori de l'Ebre,ES,40.8205249,0.4930666
University of Notre Dame,US,41.7045677,-86.2382203
National University of Singapore,SG,1.2962018,103.7768977
Inner Mongolia Agricultural University,CN,40.8036405,111.6971972
Chengdu University of Information Technology,CN,30.5843391,103.9864675
Fondazione Edmund Mach,IT,46.1942067,11.1365871
University of Naples Federico II,IT,,
Shahid Chamran University of Ahvaz,IR,31.3031086,48.652823
University of Kassel,DE,,
Forest Science and Research Institute,BR,,
China Geological Survey,CN,30.6870625,104.0736792
The University of Melbourne,AU,-37.7960951,144.9614459
Sivas Cumhuriyet Üniversitesi,TR,39.7064855,37.0265587
University of Hong Kong,HK,22.2826975,114.138455
Indian Institute of Technology Indore,IN,22.5269276,75.9262066
Hong Kong Polytechnic University,HK,22.3034264,114.1777564
Royal Military Academy,BE,50.8448108,4.3923056
University of Johannesburg,ZA,-26.1849374,27.9997925
Delft University of Technology,NL,51.9988273,4.3739604
University of Sheffield,GB,53.3815042,-1.4833688
Indian Agricultural Statistics Research Institute,IN,28.6333701,77.1729836
China University of Geosciences,CN,30.5253902,114.3938048
Nanjing University of Information Science and Technology,CN,,
Beltsville Agricultural Research Center,US,39.0307198,-76.8801786
Gamma Remote Sensing (Switzerland),CH,,
Jilin Meteorological Bureau,CN,,
CentraleSupélec,FR,49.1030194,6.2217617
Université Toulouse III - Paul Sabatier,FR,,
North China University of Water Resources and Electric Power,CN,34.7804493,113.7884777
Chinese University of Hong Kong,HK,22.4137195,114.2098955
Wageningen University & Research,NL,51.985445,5.663212
Office National d'Études et de Recherches Aérospatiales,FR,48.7138079,2.2323286
Guizhou Provincial Meteorological Bureau,CN,,
Guangdong University of Technology,CN,23.0417332,113.3873582
China University of Mining and Technology,CN,34.2146056,117.1380776
China University of Geosciences (Beijing),CN,39.9886573,116.3406423
Martin Luther University Halle-Wittenberg,DE,,
Jain University,IN,12.9181468,77.5919058
Changsha University of Science and Technology,CN,28.0705674,113.0029417
A&L Canada Laboratories (Canada),CA,,
Toyama Prefectural University,JP,36.7069866,137.0976039
China Institute Of Communications,CN,,
e GEOS (Italy),IT,,
Guangzhou Institute of Geography,CN,23.1416697,113.2927211
Brazilian Agricultural Research Corporation,BR,,
Centre National d'Études Spatiales,FR,48.8613096,2.3453828
Sun Yat-sen University,CN,23.0996033,113.2923509
Shandong Provincial Water Resources Research Institute,CN,,
Centre de Coopération Internationale en Recherche Agronomique pour le Développement,FR,43.6497674,3.8691021
Natural Resources Canada,CA,45.4089436,-75.6102189
Environmental Earth Sciences,AU,-19.3294444,146.7589741
University of the Americas,CL,40.7317568,-74.0009171
Chinese Academy of Civil Aviation Science and Technology,CN,,
Indian Institute of Technology BHU,IN,25.2621544,82.9925896
National Research Institute of Astronomy and Geophysics,EG,,
Lanzhou Jiaotong University,CN,36.109347,103.7239317
Jet Propulsion Laboratory,US,34.2015125,-118.1729785
University of Tehran,IR,35.7045839,51.394761
National Research and Innovation Agency,,-6.2288079,106.8180845
